Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
1,Joint Life ,80,M,,,M,,0.55,0.06,100000,31/12/23,0.0015,Test,31/12/24
2,Single,77,F,,,,,0.45,0.04,150000,31/12/23,0.0015,Test,31/12/24
3,Single,83,M,,,,,0.53,0.05,200000,31/12/23,0.0015,Test,31/12/24
4,Joint Life ,91,F,,,F,12/11/21,0.29,0.07,300000,31/12/23,0.0015,Test,31/12/24
5,Single,105,F,,,,,0.3,0.06,450000,31/12/23,0.0015,Test,31/12/24
6,Joint Life ,81,M,,,M,,1.55,1.06,100000,31/12/23,0.0015,Test,31/12/24
7,Single,80,F,,,,,1.45,1.04,150000,31/12/23,0.0015,Test,31/12/24
8,Single,77,M,,,,,1.53,1.05,200000,31/12/23,0.0015,Test,31/12/24
9,Joint Life ,83,F,,,F,13/11/21,1.29,1.07,300000,31/12/23,0.0015,Test,31/12/24
10,Single,91,F,,,,,1.3,1.06,450000,31/12/23,0.0015,Test,31/12/24
11,Joint Life ,105,M,,,M,,2.55,2.06,100000,31/12/23,0.0015,Test,31/12/24
12,Single,81,F,,,,,2.45,2.04,150000,31/12/23,0.0015,Test,31/12/24
13,Single,80,M,,,,,2.53,2.05,200000,31/12/23,0.0015,Test,31/12/24
14,Joint Life ,77,F,,,F,14/11/21,2.29,2.07,300000,31/12/23,0.0015,Test,31/12/24
15,Single,83,F,,,,,2.3,2.06,450000,31/12/23,0.0015,Test,31/12/24
16,Joint Life ,91,M,,,M,,3.55,3.06,100000,31/12/23,0.0015,Test,31/12/24
17,Single,105,F,,,,,3.45,3.04,150000,31/12/23,0.0015,Test,31/12/24
18,Single,81,M,,,,,3.53,3.05,200000,31/12/23,0.0015,Test,31/12/24
19,Joint Life ,80,F,,,F,15/11/21,3.29,3.07,300000,31/12/23,0.0015,Test,31/12/24
20,Single,77,F,,,,,3.3,3.06,450000,31/12/23,0.0015,Test,31/12/24
21,Joint Life ,83,M,,,M,,4.55,4.06,100000,31/12/23,0.0015,Test,31/12/24
22,Single,91,F,,,,,4.45,4.04,150000,31/12/23,0.0015,Test,31/12/24
23,Single,105,M,,,,,4.53,4.05,200000,31/12/23,0.0015,Test,31/12/24
24,Joint Life ,81,F,,,F,16/11/21,4.29,4.07,300000,31/12/23,0.0015,Test,31/12/24
25,Joint Life ,80,M,,,M,,4.3,4.06,450000,31/12/23,0.0015,Test,31/12/24
26,Single,77,F,,,,,5.55,5.06,100000,31/12/23,0.0015,Test,31/12/24
27,Single,83,M,,,,,5.45,5.04,150000,31/12/23,0.0015,Test,31/12/24
28,Joint Life ,91,F,,,F,13/11/21,5.53,5.05,200000,31/12/23,0.0015,Test,31/12/24
29,Single,105,F,,,,,5.29,5.07,300000,31/12/23,0.0015,Test,31/12/24
30,Joint Life ,81,M,,,M,,5.3,5.06,450000,31/12/23,0.0015,Test,31/12/24
31,Single,80,F,,,,,6.55,6.06,100000,31/12/23,0.0015,Test,31/12/24
32,Single,77,M,,,,,6.45,6.04,150000,31/12/23,0.0015,Test,31/12/24
33,Joint Life ,83,F,,,F,14/11/21,6.53,6.05,200000,31/12/23,0.0015,Test,31/12/24
34,Single,91,F,,,,,6.29,6.07,300000,31/12/23,0.0015,Test,31/12/24
35,Joint Life ,105,M,,,M,,6.3,6.06,450000,31/12/23,0.0015,Test,31/12/24
36,Single,81,F,,,,,7.55,7.06,100000,31/12/23,0.0015,Test,31/12/24
37,Single,80,M,,,,,7.45,7.04,150000,31/12/23,0.0015,Test,31/12/24
38,Joint Life ,77,F,,,F,15/11/21,7.53,7.05,200000,31/12/23,0.0015,Test,31/12/24
39,Single,83,F,,,,,7.29,7.07,300000,31/12/23,0.0015,Test,31/12/24
40,Joint Life ,91,M,,,M,,7.3,7.06,450000,31/12/23,0.0015,Test,31/12/24
41,Single,105,F,,,,,8.55,8.06,100000,31/12/23,0.0015,Test,31/12/24
42,Single,81,M,,,,,8.45,8.04,150000,31/12/23,0.0015,Test,31/12/24
43,Joint Life ,80,F,,,F,16/11/21,8.53,8.05,200000,31/12/23,0.0015,Test,31/12/24
44,Single,77,F,,,,,8.29,8.07,300000,31/12/23,0.0015,Test,31/12/24
45,Joint Life ,83,M,,,M,,8.3,8.06,450000,31/12/23,0.0015,Test,31/12/24
46,Single,91,F,,,,,9.55,9.06,100000,31/12/23,0.0015,Test,31/12/24
47,Single,105,M,,,,,9.45,9.04,150000,31/12/23,0.0015,Test,31/12/24
48,Joint Life ,81,F,,,F,17/11/21,9.53,9.05,200000,31/12/23,0.0015,Test,31/12/24
49,Joint Life ,80,M,,,M,,9.29,9.07,300000,31/12/23,0.0015,Test,31/12/24
50,Single,77,F,,,,,9.3,9.06,450000,31/12/23,0.0015,Test,31/12/24
51,Single,83,M,,,,,10.55,10.06,100000,31/12/23,0.0015,Test,31/12/24
52,Joint Life ,91,F,,,F,14/11/21,10.45,10.04,150000,31/12/23,0.0015,Test,31/12/24
53,Single,105,F,,,,,10.53,10.05,200000,31/12/23,0.0015,Test,31/12/24
54,Joint Life ,81,M,,,M,,10.29,10.07,300000,31/12/23,0.0015,Test,31/12/24
