Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
1,Single,81,Male,,,,,0.175372558,0.048,73625.17,42676,0.0015,Internal,45657
2,Single,73,Female,,,,,0.327020891,0.0528,123315.03,42724,0.0015,Internal,45657
3,Joint Life,76,Male,,74,Female,,0.317342186,0.0506,123891.19,42682,0.0015,Internal,45657
4,Joint Life,92,Male,,120,Female,43691,0.213594295,0.046,144927.7,42677,0.0015,Internal,45657
5,Single,75,Female,,,,,0.331394794,0.0508,82689.67,42685,0.0015,Internal,45657
6,Joint Life,73,Male,,72,Female,,0.147954586,0.042,149917.62,42688,0.0015,Internal,45657
7,Single,84,Female,,,,,0.472945713,0.035056766,229956.86,42703,0.0015,Internal,45657
8,Single,74,Female,,,,,0.258857632,0.0486,147539.31,42697,0.0015,Internal,45657
9,Single,74,Male,,,,,0.352583753,0.048,330667.54,42691,0.0015,Internal,45657
10,Joint Life,84,Male,,80,Female,,0.415383847,0.0515,139853.1,42684,0.0015,Internal,45657
11,Joint Life,97,Male,,89,Female,,0.491896948,0.0486,218973.48,42702,0.0015,Internal,45657
12,Single,80,Female,,,,,0.356524298,0.0479,51356.82,42697,0.0015,Internal,45657
13,Joint Life,79,Male,,80,Female,,0.352353243,0.0499,124959.87,42725,0.0015,Internal,45657
14,Joint Life,85,Male,,73,Female,,0.382657505,0.048,298102.54,42697,0.0015,Internal,45657
15,Joint Life,82,Male,,73,Female,,0.346320714,0.054511971,91869.99,42944,0.0015,Internal,45657
16,Joint Life,71,Male,,71,Female,,0.333729413,0.048,258222.89,42682,0.0015,Internal,45657
17,Joint Life,83,Male,,83,Female,,0.17723036,0.042,91259.88,42678,0.0015,Internal,45657
18,Joint Life,81,Female,,120,Male,44792,0.44335253,0.0517,158327.86,42849,0.0015,Internal,45657
19,Single,73,Female,,,,,0.326183261,0.048,86099.42,42719,0.0015,Internal,45657
20,Joint Life,91,Male,,89,Female,,0.383915779,0.0484,104644.67,42765,0.0015,Internal,45657
21,Single,84,Female,,,,,0.087831533,0.042,21882.89,42683,0.0015,Internal,45657
22,Joint Life,75,Male,,72,Female,,0.249947084,0.0462,215579.36,42677,0.0015,Internal,45657
23,Joint Life,74,Male,,120,Female,45504,0.310361303,0.048,110150.76,42696,0.0015,Internal,45657
24,Joint Life,84,Male,,80,Female,,0.361056425,0.043,197705.98,42696,0.0015,Internal,45657
25,Joint Life,120,Male,45614,85,Female,,0.48609888,0.044840995,641194.04,42683,0.0015,Internal,45657
26,Joint Life,82,Male,,70,Female,,0.269119937,0.048,162373.34,42692,0.0015,Internal,45657
27,Single,86,Female,,,,,0.341290377,0.039916197,54683.29,42726,0.0015,Internal,45657
28,Joint Life,74,Male,,72,Female,,0.300611852,0.045,230578.34,42689,0.0015,Internal,45657
29,Single,69,Female,,,,,0.342147073,0.048492388,180499.19,42718,0.0015,Internal,45657
30,Joint Life,82,Male,,77,Female,,0.330992259,0.0517,89279.42,42677,0.0015,Internal,45657
31,Joint Life,80,Male,,77,Female,,0.315544689,0.046,289349.77,42691,0.0015,Internal,45657
32,Joint Life,82,Male,,120,Female,42846,0.386125261,0.048,250605.13,42690,0.0015,Internal,45657
33,Joint Life,75,Male,,70,Female,,0.280425518,0.048,111409.45,42781,0.0015,Internal,45657
34,Single,76,Female,,,,,0.086343251,0.042,27175.26,42969,0.0015,Internal,45657
35,Joint Life,73,Male,,72,Female,,0.38110189,0.048,550589.39,42739,0.0015,Internal,45657
36,Single,79,Female,,,,,0.435827043,0.046,181630.52,42720,0.0015,Internal,45657
37,Single,74,Female,,,,,0.220635031,0.0422,54685.82,42703,0.0015,Internal,45657
38,Joint Life,74,Male,,74,Female,,0.294005721,0.0488,58492.86,42776,0.0015,Internal,45657
39,Joint Life,120,Male,45348,83,Female,,0.478227594,0.048,372503.57,42692,0.0015,Internal,45657
40,Single,74,Male,,,,,0.291342561,0.038047456,299351.31,42726,0.0015,Internal,45657
