Age,M,F
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0.005,0.005
71,0.005,0.005
72,0.005,0.005
73,0.005,0.005
74,0.005,0.005
75,0.005,0.005
76,0.005,0.005
77,0.005,0.005
78,0.005,0.005
79,0.005,0.005
80,0.01,0.01
81,0.01,0.01
82,0.01,0.01
83,0.01,0.01
84,0.01,0.01
85,0.01,0.01
86,0.01,0.01
87,0.01,0.01
88,0.01,0.01
89,0.01,0.01
90,0.015,0.015
91,0.015,0.015
92,0.015,0.015
93,0.015,0.015
94,0.015,0.015
95,0.015,0.015
96,0.015,0.015
97,0.015,0.015
98,0.015,0.015
99,0.015,0.015
100,0.015,0.015
101,0.015,0.015
102,0.015,0.015
103,0.015,0.015
104,0.015,0.015
105,0.015,0.015
106,0.015,0.015
107,0.015,0.015
108,0.015,0.015
109,0.015,0.015
110,0.015,0.015
111,0.015,0.015
112,0.015,0.015
113,0.015,0.015
114,0.015,0.015
115,0.015,0.015
116,0.015,0.015
117,0.015,0.015
118,0.015,0.015
119,0.015,0.015
120,0,0
