Age,M,F
50,0.005,0.005
51,0.005,0.005
52,0.005,0.005
53,0.005,0.005
54,0.005,0.005
55,0.005,0.005
56,0.005,0.005
57,0.005,0.005
58,0.005,0.005
59,0.005,0.005
60,0.005,0.005
61,0.005,0.005
62,0.005,0.005
63,0.005,0.005
64,0.005,0.005
65,0.005,0.005
66,0.005,0.005
67,0.005,0.005
68,0.005,0.005
69,0.005,0.005
70,0.005,0.005
71,0.005,0.005
72,0.005,0.005
73,0.005,0.005
74,0.005,0.005
75,0.005,0.005
76,0.005,0.005
77,0.005,0.005
78,0.005,0.005
79,0.005,0.005
80,0.005,0.005
81,0.005,0.005
82,0.005,0.005
83,0.005,0.005
84,0.005,0.005
85,0.005,0.005
86,0.005,0.005
87,0.005,0.005
88,0.005,0.005
89,0.005,0.005
90,0.005,0.005
91,0.005,0.005
92,0.005,0.005
93,0.005,0.005
94,0.005,0.005
95,0.005,0.005
96,0.005,0.005
97,0.005,0.005
98,0.005,0.005
99,0.005,0.005
100,0.005,0.005
101,0.005,0.005
102,0.005,0.005
103,0.005,0.005
104,0.005,0.005
105,0.005,0.005
106,0.005,0.005
107,0.005,0.005
108,0.005,0.005
109,0.005,0.005
110,0.005,0.005
111,0.005,0.005
112,0.005,0.005
113,0.005,0.005
114,0.005,0.005
115,0.005,0.005
116,0.005,0.005
117,0.005,0.005
118,0.005,0.005
119,0.005,0.005
120,0.005,0.005
