Age,M,F
50,0.003677412,0.002269197
51,0.003718909,0.002279038
52,0.003770286,0.002288879
53,0.00383352,0.002299299
54,0.003911903,0.00230914
55,0.00400807,0.002318981
56,0.004126632,0.0023294
57,0.004270883,0.002332295
58,0.004446092,0.002354292
59,0.004658188,0.002418547
60,0.004914414,0.002529113
61,0.005201722,0.002613166
62,0.00559812,0.002931166
63,0.006061834,0.00302481
64,0.006392563,0.003160253
65,0.00692584,0.003478868
66,0.007636837,0.003712189
67,0.00802572,0.004089103
68,0.00897288,0.00458667
69,0.009768671,0.005063699
70,0.010679525,0.005883642
71,0.011524688,0.006327034
72,0.012764709,0.007450942
73,0.014719422,0.008645182
74,0.016525381,0.010296978
75,0.019157277,0.011876673
76,0.021891291,0.014029333
77,0.025220925,0.016947988
78,0.029306543,0.020204683
79,0.033631391,0.02428074
80,0.039145694,0.027898342
81,0.045334882,0.033511569
82,0.05230188,0.038346701
83,0.059414306,0.045173191
84,0.067087781,0.051576933
85,0.075948509,0.059968972
86,0.088677702,0.071228615
87,0.102920615,0.082383838
88,0.116428546,0.093674141
89,0.133906571,0.106992842
90,0.151903077,0.122799714
91,0.175197857,0.138052005
92,0.191768732,0.155358081
93,0.216234616,0.170623487
94,0.242611752,0.190208612
95,0.26765526,0.206930304
96,0.295063738,0.227567596
97,0.312658404,0.25371401
98,0.33941278,0.272538096
99,0.390619291,0.291834335
100,0.414685664,0.320123799
101,0.425685,0.345503
102,0.442596,0.370321
103,0.45878,0.393866
104,0.474261,0.416195
105,0.489061,0.437364
106,0.503202,0.457423
107,0.516703,0.476418
108,0.52958,0.49439
109,0.541848,0.511378
110,0.553517,0.527415
111,0.564597,0.542528
112,0.575092,0.556739
113,0.585,0.570063
114,0.594315,0.582503
115,0.603018,0.59405
116,0.611074,0.604673
117,0.618418,0.614302
118,0.62492,0.622781
119,0.630216,0.629655
120,1,1
