Age,M,F
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0.065,0.065
62,0.065,0.065
63,0.065,0.065
64,0.065,0.065
65,0.065,0.065
66,0.065,0.065
67,0.065,0.065
68,0.065,0.065
69,0.065,0.065
70,0.065,0.065
71,0.04,0.04
72,0.04,0.04
73,0.04,0.04
74,0.04,0.04
75,0.04,0.04
76,0.04,0.04
77,0.04,0.04
78,0.04,0.04
79,0.04,0.04
80,0.04,0.04
81,0.04,0.04
82,0.04,0.04
83,0.04,0.04
84,0.04,0.04
85,0.04,0.04
86,0.04,0.04
87,0.04,0.04
88,0.04,0.04
89,0.04,0.04
90,0.04,0.04
91,0.04,0.04
92,0.04,0.04
93,0.04,0.04
94,0.04,0.04
95,0.04,0.04
96,0.04,0.04
97,0.04,0.04
98,0.04,0.04
99,0.04,0.04
100,0.04,0.04
101,0.04,0.04
102,0.04,0.04
103,0.04,0.04
104,0.04,0.04
105,0.04,0.04
106,0.04,0.04
107,0.04,0.04
108,0.04,0.04
109,0.04,0.04
110,0.04,0.04
111,0.04,0.04
112,0.04,0.04
113,0.04,0.04
114,0.04,0.04
115,0.04,0.04
116,0.04,0.04
117,0.04,0.04
118,0.04,0.04
119,0.04,0.04
120,1,1
