Term,HPI
1,0.048747163
2,0.048747163
3,0.048747163
4,0.047471463
5,0.046563897
6,0.045927623
7,0.045487846
8,0.04518581
9,0.044977524
10,0.044832505
11,0.044730222
12,0.044655709
13,0.044596886
14,0.044543485
15,0.044486534
16,0.044418826
17,0.044335721
18,0.044235095
19,0.044117081
20,0.043984037
21,0.043840133
22,0.043690313
23,0.043539377
24,0.043391415
25,0.04324944
26,0.043115325
27,0.042989826
28,0.042872742
29,0.042763266
30,0.042660365
31,0.042562973
32,0.042470038
33,0.042380475
34,0.042293124
35,0.042206731
36,0.042119956
37,0.04203138
38,0.041939511
39,0.041842886
40,0.041740143
41,0.041740143
42,0.041740143
43,0.041740143
44,0.041740143
45,0.041740143
46,0.041740143
47,0.041740143
48,0.041740143
49,0.041740143
50,0.041740143
