Age,M,F
50, 0.03 , 0.04 
51, 0.03 , 0.04 
52, 0.03 , 0.04 
53, 0.03 , 0.04 
54, 0.03 , 0.04 
55, 0.03 , 0.04 
56, 0.03 , 0.04 
57, 0.03 , 0.04 
58, 0.03 , 0.04 
59, 0.03 , 0.04 
60, 0.03 , 0.04 
61, 0.03 , 0.04 
62, 0.03 , 0.04 
63, 0.03 , 0.04 
64, 0.03 , 0.04 
65, 0.03 , 0.04 
66, 0.03 , 0.04 
67, 0.03 , 0.04 
68, 0.03 , 0.04 
69, 0.03 , 0.04 
70, 0.03 , 0.04 
71, 0.03 , 0.04 
72, 0.03 , 0.04 
73, 0.03 , 0.04 
74, 0.03 , 0.04 
75, 0.03 , 0.04 
76, 0.03 , 0.04 
77, 0.03 , 0.04 
78, 0.03 , 0.04 
79, 0.03 , 0.04 
80, 0.03 , 0.04 
81, 0.03 , 0.04 
82, 0.03 , 0.04 
83, 0.03 , 0.04 
84, 0.03 , 0.04 
85, 0.03 , 0.04 
86, 0.03 , 0.04 
87, 0.03 , 0.04 
88, 0.03 , 0.04 
89, 0.03 , 0.04 
90, 0.03 , 0.04 
91, 0.03 , 0.04 
92, 0.03 , 0.04 
93, 0.03 , 0.04 
94, 0.03 , 0.04 
95, 0.03 , 0.04 
96, 0.03 , 0.04 
97, 0.03 , 0.04 
98, 0.03 , 0.04 
99, 0.03 , 0.04 
100, 0.03 , 0.04 
101, 0.03 , 0.04 
102, 0.03 , 0.04 
103, 0.03 , 0.04 
104, 0.03 , 0.04 
105, 0.03 , 0.04 
106, 0.03 , 0.04 
107, 0.03 , 0.04 
108, 0.03 , 0.04 
109, 0.03 , 0.04 
110, 0.03 , 0.04 
111, 0.03 , 0.04 
112, 0.03 , 0.04 
113, 0.03 , 0.04 
114, 0.03 , 0.04 
115, 0.03 , 0.04 
116, 0.03 , 0.04 
117, 0.03 , 0.04 
118, 0.03 , 0.04 
119, 0.03 , 0.04 
120, 0.03 , 0.04 
