Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146
50,1.00707575,0.99289703,0.977765172,0.960964258,0.942122731,0.921913393,0.900964032,0.880078045,0.859828305,0.840868815,0.824331332,0.810832871,0.800698666,0.793519675,0.788835515,0.786227744,0.784667678,0.783689941,0.782856951,0.781923967,0.781076265,0.779957877,0.778143351,0.775294081,0.771172968,0.765662362,0.758765259,0.750598597,0.741381065,0.731421093,0.721100987,0.71072039,0.700451729,0.690443512,0.680802208,0.6715794,0.662767592,0.654306759,0.646105398,0.638073135,0.630153434,0.622331952,0.614607471,0.60697879,0.599444725,0.592004102,0.584655765,0.577398571,0.570231391,0.563153111,0.556162629,0.549258858,0.542440723,0.535707165,0.529057135,0.522489599,0.516003534,0.509597932,0.503271796,0.49702414,0.490853994,0.484760396,0.478742398,0.472799062,0.466929465,0.461132693,0.455407842,0.449754022,0.444170351,0.438655962,0.433209995,0.427831603,0.422519947,0.417274201,0.412093547,0.406977179,0.4019243,0.396934123,0.39200587,0.387138775,0.382332078,0.377585031,0.372896895,0.368266939,0.363694442,0.359178691,0.354718984,0.350314624,0.345964926,0.341669212,0.337426812,0.333237066,0.329099321,0.325012931,0.32097726,0.316991679,0.313055566,0.309168309,0.3053293,0.301537943,0.297793646,0.294095824,0.290443903,0.286837312,0.283275489,0.279757879,0.276283934,0.272853111,0.269464877,0.266118702,0.262814065,0.25955045,0.25632735,0.25314426,0.250000686,0.246896136,0.243830126,0.240802179,0.237811822,0.234858588,0.231942018,0.229061656,0.226217053,0.223407765,0.220633354,0.217893388,0.215187439,0.212515085,0.209875909,0.207269499,0.204695449,0.202153357,0.199642827,0.197163467,0.19471489,0.192296715,0.189908563,0.187550063,0.185220846,0.182920549,0.180648814,0.178405285,0.176189612,0.17400145,0.171840458,0.169706298,0.167598637
51,1.007485,0.992489275,0.9770815,0.960514968,0.942312477,0.922976852,0.902945873,0.882857334,0.863150385,0.844390693,0.827687874,0.813686372,0.802769991,0.794608824,0.788828157,0.785097115,0.782475836,0.780573247,0.779009005,0.777571153,0.776448668,0.775295703,0.773708075,0.771349176,0.767955899,0.763352182,0.757465195,0.750325109,0.74205755,0.732871334,0.723046854,0.712921049,0.702762235,0.692734166,0.682973649,0.673573628,0.664572148,0.655950503,0.647642636,0.639558611,0.631617783,0.623778733,0.616036888,0.608391044,0.600840014,0.593382622,0.586017711,0.578744135,0.571560764,0.56446648,0.557460181,0.550540777,0.543707191,0.536958363,0.53029324,0.523710788,0.517209983,0.510789812,0.504449277,0.498187393,0.492003184,0.485895688,0.479863956,0.473907049,0.468024039,0.462214011,0.456476062,0.450809297,0.445212836,0.439685807,0.434227349,0.428836613,0.42351276,0.418254961,0.413062397,0.407934261,0.402869753,0.397868084,0.392928477,0.388050162,0.383232379,0.378474378,0.373775419,0.369134768,0.364551703,0.360025511,0.355555487,0.351140933,0.346781163,0.342475498,0.338223266,0.334023804,0.32987646,0.325780587,0.321735545,0.317740706,0.313795447,0.309899152,0.306051216,0.302251037,0.298498024,0.294791592,0.291131163,0.287516168,0.283946041,0.280420227,0.276938177,0.273499347,0.270103202,0.266749211,0.263436853,0.260165611,0.256934974,0.25374444,0.250593511,0.247481694,0.244408507,0.241373468,0.238376105,0.235415951,0.232492544,0.229605427,0.226754152,0.223938272,0.22115735,0.218410951,0.215698647,0.213020015,0.210374638,0.207762102,0.205182,0.20263393,0.200117494,0.197632301,0.195177961,0.192754093,0.190360317,0.187996262,0.185661558,0.18335584,0.18107875,0.178829931,0.176609033,0.17441571,0.17224962,0.170110423,0.167997787
52,1.008123289,0.991853981,0.975669144,0.958860049,0.940917134,0.92223673,0.903090182,0.883930348,0.865034806,0.846838217,0.830364047,0.816230918,0.804845466,0.795931303,0.789192228,0.784383769,0.780656222,0.777709355,0.775237863,0.773086201,0.771472861,0.770077848,0.768513529,0.766441557,0.763583372,0.759725271,0.754730869,0.748555753,0.741246083,0.732930401,0.723807258,0.714133743,0.704210927,0.694281573,0.684499944,0.674990557,0.665832605,0.657050836,0.648616114,0.640457645,0.632488636,0.62463944,0.616887557,0.609231785,0.601670933,0.594203827,0.586829307,0.579546227,0.572353456,0.565249875,0.55823438,0.551305881,0.544463302,0.537705578,0.531031659,0.524440507,0.517931098,0.51150242,0.505153472,0.498883268,0.492690832,0.486575202,0.480535426,0.474570565,0.468679691,0.462861887,0.457116249,0.451441883,0.445837905,0.440303445,0.43483764,0.42943964,0.424108606,0.418843707,0.413644124,0.408509048,0.40343768,0.39842923,0.393482919,0.388597976,0.383773642,0.379009164,0.374303802,0.369656823,0.365067502,0.360535127,0.35605899,0.351638394,0.347272652,0.342961084,0.338703017,0.334497789,0.330344745,0.326243237,0.322192627,0.318192284,0.314241585,0.310339915,0.306486664,0.302681234,0.298923031,0.295211469,0.291545971,0.287925965,0.284350887,0.28082018,0.277333294,0.273889685,0.270488816,0.267130159,0.263813188,0.260537388,0.257302247,0.254107261,0.250951933,0.24783577,0.244758287,0.241719004,0.238717447,0.235753148,0.232825645,0.229934482,0.227079208,0.224259377,0.22147455,0.218724293,0.216008177,0.213325779,0.210676679,0.208060466,0.20547673,0.20292507,0.200405087,0.197916388,0.195458585,0.193031295,0.190634139,0.188266743,0.185928738,0.18361976,0.181339447,0.179087445,0.176863403,0.174666972,0.172497811,0.170355582,0.168239949
53,1.008912694,0.991069399,0.97365935,0.956116524,0.937966939,0.919570633,0.901093988,0.882827568,0.864869508,0.84749683,0.831604929,0.81772536,0.806235576,0.796877261,0.789406211,0.783656291,0.778866139,0.774827741,0.771327398,0.768283852,0.76596839,0.764108172,0.762346753,0.760348139,0.757818139,0.754518132,0.750268541,0.744960281,0.738567981,0.731147607,0.722827691,0.713796843,0.704292278,0.6945855,0.684897324,0.675371693,0.666120292,0.657208413,0.648647867,0.640400018,0.632390768,0.624538149,0.616788224,0.609134367,0.60157539,0.59411012,0.586737397,0.579456075,0.572265025,0.56516313,0.558149285,0.551222402,0.544381404,0.537625228,0.530952825,0.524363158,0.517855203,0.511427948,0.505080394,0.498811555,0.492620456,0.486506135,0.480467641,0.474504036,0.468614391,0.462797793,0.457053335,0.451380124,0.445777279,0.440243928,0.43477921,0.429382275,0.424052283,0.418788406,0.413589825,0.40845573,0.403385323,0.398377815,0.393432427,0.388548389,0.383724941,0.378961333,0.374256822,0.369610677,0.365022175,0.360490601,0.35601525,0.351595426,0.347230439,0.342919611,0.33866227,0.334457754,0.330305407,0.326204584,0.322154645,0.31815496,0.314204906,0.310303868,0.306451238,0.302646416,0.29888881,0.295177833,0.291512909,0.287893466,0.28431894,0.280788775,0.27730242,0.273859332,0.270458976,0.26710082,0.263784341,0.260509024,0.257274357,0.254079837,0.250924965,0.24780925,0.244732207,0.241693355,0.238692221,0.235728338,0.232801243,0.22991048,0.227055598,0.224236153,0.221451705,0.21870182,0.215986069,0.213304029,0.210655281,0.208039413,0.205456016,0.202904689,0.200385033,0.197896655,0.195439168,0.193012187,0.190615335,0.188248238,0.185910526,0.183601836,0.181321807,0.179070083,0.176846314,0.174650151,0.172481254,0.170339284,0.168223906
54,1.009735602,0.990252831,0.971325909,0.952612803,0.933778219,0.915211063,0.897040651,0.879454728,0.862395141,0.845964571,0.83090417,0.817619755,0.806400735,0.796956491,0.789058766,0.782592356,0.776875517,0.771789946,0.767214741,0.763159311,0.759965174,0.757426719,0.755239649,0.753087043,0.750669803,0.747724471,0.744041325,0.739465657,0.733908247,0.727357219,0.719874774,0.711587926,0.702675869,0.693358429,0.683881873,0.674447375,0.665187801,0.656201547,0.647539989,0.639202503,0.631142022,0.623282694,0.615549107,0.607911367,0.600368289,0.592918702,0.585561451,0.578295393,0.571119401,0.56403236,0.55703317,0.550120744,0.54329401,0.536551906,0.529893386,0.523317417,0.516822975,0.510409053,0.504074654,0.497818794,0.491640501,0.485538816,0.479512789,0.473561484,0.467683977,0.461879355,0.456146713,0.450485163,0.444893823,0.439371825,0.433918309,0.428532428,0.423213345,0.417960232,0.412772272,0.407648659,0.402588595,0.397591294,0.392655979,0.387781881,0.382968242,0.378214314,0.373519356,0.368882639,0.364303441,0.359781049,0.35531476,0.350903878,0.346547718,0.3422456,0.337996856,0.333800824,0.329656851,0.325564292,0.321522509,0.317530875,0.313588766,0.309695569,0.305850679,0.302053496,0.29830343,0.294599895,0.290942316,0.287330123,0.283762753,0.280239651,0.276760268,0.273324061,0.269930496,0.266579045,0.263269184,0.260000399,0.256772179,0.253584023,0.250435433,0.247325919,0.244254997,0.241222187,0.238227017,0.235269021,0.232347738,0.229462712,0.226613493,0.223799638,0.221020709,0.218276271,0.215565897,0.212889165,0.210245657,0.207634962,0.205056673,0.202510386,0.199995707,0.197512242,0.195059604,0.192637411,0.190245286,0.187882855,0.18554975,0.183245607,0.180970067,0.178722775,0.176503381,0.174311538,0.172146906,0.170009145,0.167897924
55,1.010469881,0.989525338,0.969019444,0.948852251,0.928907136,0.909701842,0.891391434,0.874126265,0.857750522,0.842215787,0.828092498,0.815637867,0.80501735,0.795852036,0.787879299,0.780998181,0.774578708,0.768582401,0.7629783,0.757867464,0.753677611,0.750285366,0.747458141,0.744921489,0.742387408,0.739584404,0.736271186,0.73226001,0.727415266,0.721662996,0.715001422,0.707496867,0.699274031,0.69050324,0.681388762,0.67215471,0.662984163,0.653998259,0.645281799,0.636872364,0.628757548,0.620883042,0.613172869,0.605565415,0.598052228,0.590632143,0.583304009,0.576066688,0.568919059,0.561860013,0.554888453,0.548003299,0.541203482,0.534487946,0.527855649,0.521305561,0.514836667,0.508447961,0.502138451,0.495907159,0.489753115,0.483675365,0.477672964,0.471744981,0.465890494,0.460108593,0.454398382,0.448758971,0.443189486,0.437689061,0.43225684,0.42689198,0.421593648,0.416361018,0.411193278,0.406089625,0.401049265,0.396071415,0.3911553,0.386300157,0.381505229,0.376769772,0.372093049,0.367474333,0.362912905,0.358408056,0.353959085,0.3495653,0.345226017,0.340940561,0.336708266,0.332528473,0.328400532,0.324323799,0.320297641,0.316321432,0.312394552,0.30851639,0.304686342,0.300903812,0.297168213,0.293478961,0.289835482,0.28623721,0.282683584,0.279174051,0.275708064,0.272285083,0.268904576,0.265566017,0.262268884,0.259012665,0.255796853,0.252620946,0.24948445,0.246386877,0.243327744,0.240306573,0.237322896,0.234376246,0.231466165,0.2285922,0.225753902,0.222950829,0.220182545,0.217448618,0.214748622,0.212082137,0.209448746,0.20684804,0.204279613,0.201743065,0.199238,0.196764029,0.194320765,0.191907827,0.18952484,0.187171432,0.184847236,0.18255189,0.180285035,0.17804632,0.175835393,0.173651912,0.171495535,0.169365926,0.167262753
56,1.011055566,0.988945828,0.967034474,0.94535195,0.924018467,0.903758661,0.884850069,0.86746591,0.851416429,0.836559444,0.823317017,0.811784192,0.801982305,0.793411499,0.785719609,0.778769525,0.771946247,0.765262062,0.758765728,0.752646923,0.747420477,0.74305924,0.739416796,0.736282397,0.733403534,0.730514299,0.727364797,0.723730298,0.719440594,0.71437548,0.708473334,0.701740336,0.694245632,0.686111212,0.677499032,0.668599203,0.659615959,0.650715383,0.642006384,0.633560003,0.625400305,0.617503871,0.609810444,0.602245575,0.594774424,0.587395833,0.580108658,0.57291177,0.565804052,0.558784404,0.551851735,0.545004972,0.538243053,0.531564928,0.524969561,0.518455931,0.512023025,0.505669846,0.499395408,0.493198738,0.487078873,0.481034863,0.475065772,0.469170671,0.463348646,0.457598792,0.451920217,0.44631204,0.440773388,0.435303403,0.429901233,0.424566041,0.419296997,0.414093283,0.40895409,0.40387862,0.398866084,0.393915703,0.389026707,0.384198338,0.379429844,0.374720484,0.370069526,0.365476247,0.360939933,0.356459878,0.352035387,0.347665771,0.343350349,0.339088453,0.334879417,0.330722589,0.32661732,0.322562974,0.318558918,0.31460453,0.310699195,0.306842305,0.303033259,0.299271467,0.295556341,0.291887304,0.288263784,0.284685218,0.28115105,0.277660727,0.274213708,0.270809456,0.267447441,0.264127139,0.260848034,0.257609615,0.254411377,0.251252823,0.248133461,0.245052805,0.242010376,0.239005699,0.236038306,0.233107736,0.230213532,0.227355244,0.224532425,0.221744636,0.218991444,0.216272418,0.213587136,0.210935179,0.208316134,0.205729593,0.203175153,0.200652415,0.198160987,0.195700481,0.193270512,0.190870703,0.188500679,0.186160072,0.183848515,0.181565649,0.179311119,0.177084572,0.174885662,0.172714045,0.170569384,0.168451344,0.166359594
57,1.011475568,0.98853067,0.965501329,0.942470351,0.91968618,0.898098925,0.878184219,0.860231388,0.844074804,0.829540258,0.816956642,0.806280438,0.797377658,0.789610511,0.7825057,0.775835306,0.768949316,0.761872876,0.754705322,0.747714696,0.741500149,0.73613016,0.731557946,0.727652229,0.724217965,0.721019412,0.717808279,0.714352314,0.71043961,0.705914585,0.700670018,0.694654707,0.687881401,0.680421261,0.672393367,0.663951754,0.655273468,0.646544607,0.637915084,0.629481222,0.62130028,0.613383213,0.605696468,0.598175181,0.590755443,0.583427604,0.576190531,0.569043102,0.56198421,0.555012761,0.548127676,0.541327887,0.53461234,0.527979994,0.521429822,0.514960808,0.508571949,0.502262253,0.496030744,0.489876454,0.483798428,0.477795724,0.471867412,0.46601257,0.46023029,0.454519676,0.448879841,0.44330991,0.437809017,0.432376311,0.427010946,0.42171209,0.41647892,0.411310625,0.4062064,0.401165454,0.396187003,0.391270274,0.386414504,0.381618938,0.376882832,0.372205448,0.367586061,0.363023953,0.358518415,0.354068746,0.349674255,0.345334259,0.341048084,0.336815062,0.332634537,0.328505857,0.324428382,0.320401476,0.316424514,0.312496878,0.308617956,0.304787146,0.301003851,0.297267483,0.29357746,0.28993321,0.286334164,0.282779763,0.279269454,0.27580269,0.272378933,0.268997649,0.265658312,0.262360403,0.259103407,0.25588682,0.252710138,0.249572869,0.246474524,0.243414619,0.24039268,0.237408236,0.234460821,0.231549978,0.228675252,0.225836196,0.223032368,0.220263332,0.217528656,0.214827913,0.212160685,0.209526554,0.206925112,0.204355952,0.201818674,0.199312884,0.19683819,0.194394208,0.191980556,0.189596858,0.187242744,0.184917845,0.182621801,0.180354253,0.178114848,0.175903237,0.173719075,0.171562021,0.169431741,0.167327901,0.165250173
58,1.011732124,0.988277243,0.964449939,0.940348242,0.916272968,0.893295363,0.872107449,0.85318765,0.836484196,0.821846742,0.809570241,0.799527192,0.79145292,0.784563339,0.778248203,0.772157814,0.765553359,0.758422024,0.750875911,0.74323258,0.73616581,0.729835686,0.724294184,0.719504054,0.715344209,0.711631235,0.708142729,0.704645033,0.700920865,0.696768611,0.692045362,0.686655255,0.680556222,0.673766651,0.666359203,0.658449979,0.650185495,0.641730615,0.6332547,0.624892161,0.616726505,0.608801316,0.601114941,0.593624646,0.586262345,0.578991207,0.571810109,0.564717938,0.557713597,0.550796002,0.543964081,0.537216777,0.530553044,0.52397185,0.517472176,0.511053016,0.504713374,0.498452268,0.492268728,0.486161796,0.480130525,0.47417398,0.468291237,0.462481385,0.456743523,0.451076761,0.445480219,0.439953031,0.434494338,0.429103295,0.423779063,0.418520818,0.413327743,0.408199033,0.403133891,0.398131532,0.393191178,0.388312063,0.38349343,0.37873453,0.374034624,0.369392983,0.364808886,0.36028162,0.355810482,0.351394779,0.347033823,0.342726938,0.338473455,0.334272712,0.330124056,0.326026844,0.321980437,0.317984208,0.314037535,0.310139805,0.306290412,0.302488757,0.298734249,0.295026305,0.291364348,0.287747808,0.284176124,0.280648739,0.277165105,0.27372468,0.27032693,0.266971325,0.263657343,0.26038447,0.257152195,0.253960017,0.250807437,0.247693966,0.244619119,0.241582418,0.238583389,0.235621567,0.23269649,0.229807703,0.226954757,0.224137206,0.221354613,0.218606545,0.215892573,0.213212275,0.210565233,0.207951037,0.205369277,0.202819553,0.200301467,0.197814627,0.195358646,0.192933141,0.190537735,0.188172055,0.185835731,0.1835284,0.181249703,0.178999284,0.176776793,0.174581884,0.172414215,0.170273448,0.168159249,0.166071289,0.164009243
59,1.011841187,0.988169549,0.963860296,0.93899776,0.91389901,0.889684053,0.8671606,0.847014017,0.829376345,0.814207598,0.80182236,0.792066571,0.784598946,0.778515343,0.77306146,0.767750671,0.761725242,0.754880033,0.747289378,0.739282981,0.731581395,0.724425655,0.717962254,0.712248385,0.707252182,0.702859426,0.698895622,0.695149408,0.691399734,0.687442447,0.683084488,0.67819428,0.672686198,0.666526411,0.65973832,0.65239575,0.644611834,0.636525932,0.628291476,0.620062237,0.611957699,0.60404843,0.596364539,0.588892348,0.581580937,0.574368909,0.567246162,0.560211595,0.55326412,0.546402662,0.539626159,0.532933564,0.526323841,0.519795966,0.51334893,0.506981734,0.500693393,0.494482933,0.488349392,0.482291821,0.47630928,0.470400845,0.464565598,0.458802637,0.453111068,0.447490009,0.441938589,0.436455948,0.431041235,0.425693612,0.420412248,0.415196326,0.410045036,0.40495758,0.399933167,0.39497102,0.390070368,0.385230451,0.380450518,0.375729826,0.371067645,0.366463249,0.361915925,0.357424967,0.352989676,0.348609366,0.344283355,0.340010972,0.335791553,0.331624444,0.327508997,0.323444572,0.319430539,0.315466274,0.311551161,0.307684591,0.303865965,0.300094688,0.296370174,0.292691846,0.28905913,0.285471462,0.281928285,0.278429048,0.274973207,0.271560225,0.26818957,0.264860719,0.261573155,0.258326365,0.255119845,0.251953096,0.248825627,0.245736949,0.242686583,0.239674055,0.236698895,0.233760641,0.230858836,0.227993027,0.22516277,0.222367623,0.219607152,0.216880927,0.214188524,0.211529524,0.208903513,0.206310081,0.203748826,0.201219349,0.198721256,0.196254157,0.19381767,0.191411414,0.189035014,0.186688102,0.184370311,0.18208128,0.179820653,0.177588077,0.175383206,0.173205695,0.171055206,0.168931404,0.166833957,0.164762539,0.162716827
