Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146
50,1.008456811,0.991522346,0.973900885,0.954927754,0.93444777,0.913136961,0.89177039,0.871213726,0.852235647,0.835533495,0.821919387,0.811967921,0.805963292,0.803552924,0.804056027,0.806679752,0.810199222,0.813649685,0.816122447,0.816908586,0.815732776,0.812082711,0.805500677,0.79574468,0.78282761,0.767023705,0.748844224,0.728974376,0.708195311,0.687307779,0.66706818,0.648057945,0.630645872,0.615054374,0.601340129,0.589386093,0.578917009,0.569544258,0.56084736,0.552480179,0.544263596,0.536169082,0.528194828,0.520339051,0.512599995,0.504975928,0.497465146,0.490065968,0.48277674,0.47559583,0.468521632,0.461552563,0.454687064,0.447923598,0.441260651,0.434696732,0.428230372,0.421860124,0.41558456,0.409402275,0.403311887,0.39731203,0.391401362,0.385578557,0.379842313,0.374191345,0.368624386,0.363140189,0.357737526,0.352415186,0.347171976,0.342006723,0.336918268,0.33190547,0.326967207,0.322102372,0.317309874,0.312588639,0.307937609,0.30335574,0.298842006,0.294395394,0.290014909,0.285699566,0.281448399,0.277260455,0.273134793,0.26907049,0.265066633,0.261122324,0.257236678,0.253408824,0.249637904,0.24592307,0.242263491,0.238658344,0.23510682,0.231608124,0.22816147,0.224766084,0.221421205,0.218126081,0.214879974,0.211682155,0.208531905,0.205428519,0.2023713,0.19935956,0.196392625,0.193469828,0.190590513,0.187754034,0.184959753,0.182207044,0.179495289,0.176823878,0.174192211,0.171599699,0.169045758,0.166529816,0.164051307,0.161609674,0.15920437,0.156834854,0.154500594,0.152201066,0.149935753,0.147704146,0.145505745,0.143340055,0.141206589,0.13910487,0.137034424,0.134994787,0.1329855,0.131006112,0.129056178,0.127135261,0.125242928,0.123378754,0.121542321,0.119733216,0.117951032,0.11619537,0.114465834,0.112762036,0.111083594
51,1.009128203,0.990855421,0.972847095,0.954206954,0.934441072,0.913866626,0.892962087,0.872398721,0.852879001,0.835136685,0.82009119,0.808453741,0.800650908,0.796481963,0.795428537,0.796841496,0.799623195,0.80288343,0.805750499,0.807509788,0.807816117,0.806096188,0.801824905,0.794650669,0.784423178,0.771226698,0.755381339,0.737415481,0.718002725,0.697886826,0.677810102,0.658454751,0.640343167,0.623806993,0.609029879,0.596031067,0.584661912,0.574627328,0.565537892,0.556997149,0.548707562,0.540547852,0.532509344,0.524590242,0.516788776,0.509103203,0.501531805,0.49407289,0.486724789,0.47948586,0.472354485,0.465329068,0.458408038,0.451589848,0.444872972,0.438255907,0.431737174,0.425315314,0.418988889,0.412756484,0.406616704,0.400568176,0.394609544,0.388739476,0.382956656,0.377259792,0.371647606,0.366118842,0.360672263,0.355306647,0.350020795,0.344813521,0.339683659,0.334630061,0.329651593,0.324747141,0.319915606,0.315155905,0.310466971,0.305847755,0.301297219,0.296814346,0.292398129,0.288047579,0.283761721,0.279539594,0.275380252,0.271282761,0.267246203,0.263269674,0.259352281,0.255493145,0.251691403,0.2479462,0.244256697,0.240622066,0.237041493,0.233514173,0.230039317,0.226616143,0.223243885,0.219921785,0.216649098,0.213425091,0.210249039,0.20712023,0.204037961,0.201001542,0.198010291,0.195063536,0.192160615,0.189300879,0.186483684,0.183708398,0.180974398,0.178281071,0.175627812,0.173014026,0.170439124,0.167902531,0.165403675,0.162941996,0.160516941,0.158127966,0.155774535,0.153456118,0.151172195,0.148922253,0.146705788,0.1445223,0.142371301,0.140252306,0.138164841,0.136108435,0.134082627,0.132086963,0.130120993,0.128184277,0.126276379,0.12439687,0.122545329,0.120721339,0.118924491,0.117154382,0.115410612,0.113692791,0.112000533
52,1.010228653,0.98976422,0.970550659,0.951637606,0.93230169,0.912526365,0.892439578,0.872422937,0.852988151,0.834802505,0.818818173,0.805847531,0.796447993,0.790560204,0.787819729,0.787742329,0.789381108,0.791971907,0.794716954,0.796935234,0.798270142,0.798097426,0.795830429,0.791021579,0.783391601,0.772852349,0.759535081,0.743787486,0.726143522,0.707260584,0.687846959,0.66859411,0.650122163,0.632901421,0.617225837,0.603240323,0.590927442,0.580108717,0.57047232,0.561632469,0.553221981,0.544996155,0.536892482,0.528909155,0.521044389,0.51329643,0.505663545,0.49814403,0.490736206,0.483438416,0.476249031,0.469166443,0.46218907,0.455315351,0.448543751,0.441872756,0.435300873,0.428826634,0.42244859,0.416165315,0.409975404,0.403877472,0.397870155,0.391952109,0.386122009,0.380378552,0.374720451,0.369146441,0.363655274,0.358245721,0.35291657,0.347666629,0.342494723,0.337399693,0.332380398,0.327435715,0.322564535,0.317765769,0.313038341,0.308381192,0.303793279,0.299273574,0.294821065,0.290434753,0.286113656,0.281856806,0.277663249,0.273532045,0.269462267,0.265453005,0.261503358,0.257612442,0.253779385,0.250003326,0.24628342,0.242618833,0.239008742,0.235452338,0.231948824,0.228497414,0.225097334,0.221747822,0.218448125,0.215197504,0.21199523,0.208840584,0.205732859,0.202671358,0.199655393,0.196684288,0.193757376,0.190874001,0.188033516,0.185235283,0.182478673,0.17976307,0.177087862,0.174452451,0.171856243,0.169298657,0.166779118,0.164297061,0.161851928,0.159443172,0.15707025,0.154732631,0.152429789,0.150161207,0.147926377,0.145724796,0.143555969,0.141419411,0.139314641,0.137241186,0.135198582,0.133186368,0.131204094,0.129251314,0.127327589,0.125432488,0.123565585,0.121726461,0.119914701,0.118129901,0.116371657,0.114639577,0.11293327
53,1.011647053,0.988361262,0.967128266,0.947159943,0.927677894,0.908437804,0.88924226,0.870131624,0.851335085,0.833332288,0.817007304,0.803200318,0.792563678,0.785166221,0.780785466,0.779092772,0.77931269,0.780831569,0.782977793,0.78514165,0.786994252,0.787913935,0.787261674,0.784512189,0.779272964,0.771317963,0.760604474,0.747296919,0.731760225,0.714527502,0.696237587,0.677564809,0.659154669,0.641572872,0.625241758,0.610416967,0.597204712,0.585551804,0.575252059,0.565980508,0.557360064,0.549058557,0.540895599,0.532853833,0.524931465,0.517126727,0.509437877,0.5018632,0.494401003,0.487049621,0.479807412,0.47267276,0.465644071,0.458719774,0.451898324,0.445178195,0.438557887,0.43203592,0.425610836,0.4192812,0.413045597,0.406902633,0.400850934,0.394889147,0.389015939,0.383229997,0.377530026,0.371914752,0.366382919,0.360933289,0.355564642,0.350275779,0.345065514,0.339932682,0.334876134,0.329894739,0.324987381,0.320152963,0.3153904,0.310698628,0.306076596,0.301523269,0.297037626,0.292618665,0.288265393,0.283976838,0.279752038,0.275590046,0.27148993,0.267450772,0.263471666,0.259551721,0.255690059,0.251885814,0.248138133,0.244446176,0.240809117,0.237226139,0.23369644,0.230219228,0.226793724,0.223419159,0.220094778,0.216819834,0.213593593,0.210415331,0.207284337,0.204199908,0.201161351,0.198167986,0.195219141,0.192314154,0.189452374,0.186633159,0.183855877,0.181119903,0.178424625,0.175769438,0.173153746,0.170576961,0.168038506,0.165537811,0.163074315,0.160647465,0.158256716,0.155901532,0.153581384,0.151295751,0.14904412,0.146825986,0.144640851,0.142488224,0.140367622,0.138278568,0.136220595,0.134193239,0.132196046,0.130228567,0.128290361,0.126380991,0.12450003,0.122647055,0.120821649,0.119023404,0.117251914,0.115506783,0.113787618
54,1.013178106,0.986851311,0.963005759,0.941204773,0.920826585,0.901568427,0.883011533,0.864881104,0.847075746,0.829799613,0.813750965,0.799699946,0.788321739,0.779776881,0.773969936,0.77071444,0.769396101,0.769572279,0.770722149,0.772359565,0.774220674,0.775722588,0.776227326,0.775143692,0.771994345,0.766428487,0.758262204,0.747488338,0.734296178,0.719061589,0.702312847,0.684668727,0.666770528,0.649220868,0.632535911,0.617092528,0.603107505,0.590648547,0.579627896,0.569814163,0.560873314,0.552442461,0.544230463,0.536140346,0.52817031,0.520318576,0.512583393,0.504963038,0.497455809,0.490060033,0.482774059,0.475596262,0.468525039,0.461558814,0.45469603,0.447935156,0.441274683,0.434713122,0.42824901,0.421880901,0.415607374,0.409427028,0.403338481,0.397340373,0.391431364,0.385610133,0.37987538,0.374225821,0.368660195,0.363177257,0.357775781,0.352454559,0.347212401,0.342048136,0.336960606,0.331948676,0.327011223,0.322147142,0.317355346,0.312634762,0.307984333,0.303403019,0.298889795,0.29444365,0.290063589,0.285748631,0.28149781,0.277310175,0.273184787,0.269120724,0.265117073,0.26117294,0.25728744,0.253459704,0.249688873,0.245974102,0.242314561,0.238709428,0.235157895,0.231659168,0.228212461,0.224817003,0.221472032,0.218176798,0.214930564,0.2117326,0.208582191,0.20547863,0.202421221,0.199409279,0.196442128,0.193519103,0.190639548,0.187802818,0.185008276,0.182255296,0.17954326,0.17687156,0.174239596,0.171646779,0.169092526,0.166576264,0.164097429,0.161655465,0.159249824,0.156879965,0.154545358,0.152245478,0.14997981,0.147747844,0.14554908,0.143383024,0.14124919,0.1391471,0.13707628,0.135036268,0.133026604,0.131046837,0.129096523,0.127175225,0.12528251,0.123417954,0.121581138,0.11977165,0.117989084,0.116233039,0.11450312
55,1.014581506,0.985471278,0.958811403,0.934609059,0.912582959,0.892576661,0.87411468,0.856709301,0.839956285,0.823739866,0.808488411,0.794789304,0.783245984,0.774039883,0.767164898,0.762560037,0.759757229,0.758473782,0.758359616,0.759076558,0.760477211,0.762052678,0.763202356,0.763324942,0.761869158,0.758397714,0.752593373,0.74430765,0.733562813,0.720567715,0.705704985,0.689495307,0.672536233,0.655436469,0.638757653,0.622969552,0.608405143,0.595242013,0.583509778,0.573087575,0.563721653,0.555073349,0.546799776,0.538672858,0.530666525,0.522778994,0.515008506,0.507353332,0.499811766,0.492382126,0.485062757,0.477852027,0.470748328,0.463750077,0.456855714,0.450063699,0.443372518,0.436780679,0.43028671,0.423889162,0.417586608,0.411377641,0.405260875,0.399234943,0.393298501,0.387450223,0.381688802,0.376012952,0.370421405,0.364912912,0.359486242,0.354140181,0.348873537,0.343685131,0.338573803,0.333538411,0.32857783,0.323690949,0.318876677,0.314133937,0.309461667,0.304858824,0.300324377,0.295857311,0.291456628,0.287121343,0.282850485,0.278643099,0.274498244,0.270414991,0.266392427,0.26242965,0.258525775,0.254679926,0.250891243,0.247158877,0.243481993,0.239859767,0.236291388,0.232776056,0.229312984,0.225901396,0.222540528,0.219229627,0.215967951,0.21275477,0.209589362,0.206471019,0.203399043,0.200372743,0.197391443,0.194454473,0.191561176,0.188710903,0.185903014,0.183136881,0.180411883,0.177727409,0.175082856,0.172477633,0.169911155,0.167382845,0.164892138,0.162438474,0.160021304,0.157640084,0.155294281,0.152983368,0.150706827,0.148464147,0.146254826,0.144078367,0.141934281,0.139822089,0.137741315,0.135691494,0.133672164,0.131682873,0.129723174,0.127792628,0.1258908,0.124017265,0.122171601,0.120353395,0.118562238,0.116797727,0.115059468
56,1.015693125,0.98438089,0.955151802,0.928346542,0.904113243,0.882618945,0.863528953,0.846302226,0.830332297,0.815212517,0.801060005,0.788200542,0.777058282,0.767744278,0.760271096,0.754664153,0.750583154,0.747889233,0.746391425,0.745918946,0.74646473,0.747643346,0.748926906,0.749742111,0.74951988,0.747744328,0.744013472,0.738038473,0.729702039,0.719051816,0.706312556,0.691870635,0.676237032,0.659987045,0.643696885,0.627888351,0.612986853,0.599282519,0.586913631,0.575872376,0.566006513,0.557043049,0.548643407,0.540490656,0.532458826,0.524546131,0.51675081,0.509071128,0.501505376,0.494051871,0.486708951,0.479474983,0.472348355,0.46532748,0.458410793,0.451596753,0.444883842,0.438270563,0.431755443,0.425337029,0.419013889,0.412784614,0.406647815,0.400602121,0.394646185,0.388778678,0.38299829,0.377303731,0.371693731,0.366167036,0.360722414,0.355358647,0.350074539,0.34486891,0.339740596,0.334688452,0.32971135,0.324808177,0.319977837,0.315219252,0.310531357,0.305913105,0.301363464,0.296881416,0.292465959,0.288116105,0.283830883,0.279609333,0.275450512,0.271353489,0.267317347,0.263341184,0.259424109,0.255565247,0.251763734,0.248018718,0.244329363,0.240694841,0.23711434,0.233587058,0.230112204,0.226689002,0.223316684,0.219994495,0.216721691,0.21349754,0.210321318,0.207192316,0.204109831,0.201073172,0.198081661,0.195134626,0.192231407,0.189371354,0.186553825,0.183778189,0.181043824,0.178350117,0.175696465,0.173082272,0.170506952,0.167969929,0.165470632,0.163008503,0.160582988,0.158193544,0.155839635,0.153520733,0.151236319,0.148985879,0.146768909,0.144584912,0.142433397,0.140313883,0.138225893,0.136168959,0.134142621,0.132146422,0.130179915,0.12824266,0.126334221,0.124454169,0.122602084,0.120777549,0.118980155,0.117209499,0.115465183
57,1.016432182,0.983657275,0.952402726,0.923213888,0.896561065,0.873020361,0.852567656,0.834798426,0.819058395,0.80474854,0.791704262,0.779952502,0.769664508,0.760778445,0.753236005,0.747078213,0.742052226,0.738143313,0.73530291,0.733515864,0.732934569,0.733319592,0.734265054,0.735262093,0.735762301,0.73522636,0.733171085,0.729226756,0.723129466,0.714790224,0.704279143,0.691834124,0.677842948,0.662805177,0.647272948,0.631789902,0.616838706,0.602801784,0.589927185,0.578314014,0.567917893,0.558557144,0.549942879,0.541741501,0.533692788,0.525763409,0.517951603,0.510255634,0.50267379,0.495204387,0.487845762,0.480596279,0.473454326,0.466418313,0.459486675,0.452657869,0.445930374,0.439302694,0.432773351,0.426340892,0.420003884,0.413760916,0.407610595,0.401551553,0.395582437,0.389701919,0.383908686,0.378201447,0.372578929,0.367039878,0.361583059,0.356207254,0.350911264,0.345693908,0.34055402,0.335490453,0.330502078,0.32558778,0.320746462,0.315977043,0.311278458,0.306649658,0.302089608,0.29759729,0.2931717,0.288811849,0.284516763,0.280285482,0.27611706,0.272010565,0.267965079,0.263979698,0.26005353,0.256185698,0.252375337,0.248621594,0.244923629,0.241280616,0.237691738,0.234156195,0.230673193,0.227241954,0.22386171,0.220531704,0.21725119,0.214019436,0.210835716,0.207699318,0.204609541,0.201565691,0.198567088,0.19561306,0.192702945,0.189836091,0.187011857,0.184229609,0.181488725,0.17878859,0.176128599,0.173508156,0.170926674,0.168383575,0.165878289,0.163410253,0.160978915,0.15858373,0.156224162,0.15389968,0.151609764,0.1493539,0.147131583,0.144942315,0.142785604,0.140660967,0.138567927,0.136506015,0.134474769,0.132473732,0.130502457,0.1285605,0.126647427,0.124762808,0.12290622,0.121077247,0.119275478,0.117500509,0.115751942
58,1.016753607,0.983342896,0.950748768,0.919674883,0.890789489,0.864974931,0.842599183,0.823556516,0.807326985,0.793268266,0.78102982,0.770370378,0.761175015,0.753140332,0.746037799,0.739835629,0.734297413,0.729491483,0.725491522,0.722421384,0.720581741,0.719897156,0.720106623,0.720815447,0.721532476,0.721732908,0.720905714,0.718598613,0.714471985,0.708284328,0.699972768,0.689627616,0.677497729,0.663970403,0.6495324,0.634711945,0.620020026,0.605900678,0.59269434,0.58060762,0.569700753,0.559893821,0.550977806,0.542651424,0.534591091,0.52665021,0.518827017,0.511119776,0.503526778,0.496046334,0.488676786,0.481416494,0.474263847,0.467217255,0.460275151,0.453435993,0.44669826,0.440060453,0.433521097,0.427078736,0.420731937,0.414479288,0.408319398,0.402250894,0.396272427,0.390382664,0.384580293,0.378864024,0.373232582,0.367684711,0.362219177,0.356834761,0.351530263,0.3463045,0.341156307,0.336084535,0.331088055,0.326165751,0.321316525,0.316539295,0.311832996,0.307196576,0.302629002,0.298129253,0.293696325,0.289329229,0.285026988,0.280788643,0.276613246,0.272499865,0.268447581,0.264455488,0.260522695,0.256648323,0.252831505,0.249071389,0.245367134,0.241717912,0.238122907,0.234581316,0.231092345,0.227655216,0.224269158,0.220933416,0.217647241,0.2144099,0.211220669,0.208078832,0.204983688,0.201934543,0.198930716,0.195971533,0.193056333,0.190184462,0.187355278,0.184568147,0.181822446,0.179117559,0.176452881,0.173827814,0.171241771,0.168694173,0.166184449,0.163712036,0.161276381,0.158876938,0.156513169,0.154184545,0.151890543,0.149630651,0.14740436,0.145211173,0.143050597,0.140922149,0.138825351,0.136759733,0.134724831,0.132720191,0.130745362,0.128799901,0.126883372,0.124995345,0.123135398,0.121303112,0.119498077,0.117719888,0.115968146
59,1.016699322,0.983395977,0.950227922,0.917899403,0.887232592,0.859298021,0.834756529,0.813878633,0.796433599,0.781910589,0.769916811,0.760036132,0.751899152,0.744931359,0.738668456,0.732908686,0.727344361,0.722055924,0.717198282,0.713014464,0.709937833,0.708045294,0.707239169,0.707262838,0.70773198,0.708172498,0.70808244,0.706978036,0.704436536,0.700146709,0.693887458,0.685620242,0.675453668,0.663645724,0.650581648,0.636734277,0.622607337,0.608679105,0.595355385,0.582935382,0.571584813,0.561325459,0.552042989,0.543503249,0.535396202,0.527445405,0.519612383,0.511895401,0.504292748,0.496802739,0.489423712,0.482154031,0.474992083,0.467936279,0.460985053,0.454136862,0.447390184,0.440743523,0.434195401,0.427744363,0.421388977,0.415127829,0.408959529,0.402882704,0.396896003,0.390998094,0.385187667,0.379463427,0.373824101,0.368268435,0.36279519,0.35740315,0.352091113,0.346857896,0.341702333,0.336623277,0.331619595,0.326690172,0.32183391,0.317049726,0.312336554,0.307693343,0.303119057,0.298612676,0.294173196,0.289799625,0.285490988,0.281246324,0.277064685,0.272945138,0.268886763,0.264888655,0.26094992,0.25706968,0.253247067,0.249481227,0.245771321,0.242116518,0.238516003,0.23496897,0.231474627,0.228032193,0.224640899,0.221299987,0.218008709,0.214766331,0.211572126,0.20842538,0.205325391,0.202271464,0.199262916,0.196299075,0.193379276,0.190502868,0.187669206,0.184877656,0.182127594,0.179418404,0.176749479,0.174120223,0.171530046,0.168978369,0.16646462,0.163988236,0.161548663,0.159145355,0.156777773,0.154445387,0.152147675,0.149884122,0.14765422,0.145457471,0.143293381,0.141161467,0.13906125,0.136992259,0.134954032,0.132946111,0.130968046,0.129019394,0.127099717,0.125208587,0.123345578,0.121510273,0.11970226,0.117921135,0.116166497
